index,new column name,full question
1,org_size,organization size
2,1_disregarded_question,#N/A
3,2_disregarded_question,#N/A
4,employee_level,What is your substantive classification level?
5,job_engagement_1,My job gives me opportunities to utilise my skills
6,job_engagement_2,My job gives me a feeling of personal accomplishment
7,job_engagement_3,I am satisfied with the recognition I receive for doing a good job
8,job_engagement_4,"I am fairly remunerated (e.g. salary, O1 superannuation) for the work that I do"
9,job_engagement_5,"I am satisfied with my non- monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
10,job_engagement_6,I am satisfied with the stability and security of my current job
11,job_engagement_7,I suggest ideas to improve our way of doing things
12,job_engagement_8,I am happy to go the ‘extra mile’ at O1 work when required
13,job_engagement_9,"Considering everything, I am satisfied with my job"
14,job_engagement_10,I believe strongly in the purpose O1 and objectives of the APS
15,3_disregarded_question,#N/A
16,team_engagement_1,"The people in my workgroup are honest, open and transparent in their dealings"
17,team_engagement_2,The people in my workgroup cooperate to get the job done
18,team_engagement_3,The people in my workgroup are committed to workplace safety
19,team_engagement_4,The people in my workgroup behave in an accepting manner towards people from diverse backgrounds
20,4_disregarded_question,#N/A
21,supervisor_engagement_1,My supervisor actively supports people from diverse backgrounds
22,supervisor_engagement_2,My supervisor treats people with respect
23,supervisor_engagement_3,My supervisor communicates effectively
24,supervisor_engagement_4,My supervisor encourages me to contribute ideas
25,5_disregarded_question,#N/A
26,supervisor_engagement_5,"My supervisor invites a range of views, including those different to their own"
27,supervisor_engagement_6,My supervisor displays resilience when faced with difficulties or failures
28,supervisor_engagement_7,My supervisor maintains composure under pressure
29,supervisor_engagement_8,I have a good immediate supervisor
30,supervisor_engagement_9,My supervisor gives me responsibility and holds me to account for what I deliver
31,supervisor_engagement_10,My supervisor challenges me to consider new ways of doing things
32,supervisor_engagement_11,"My supervisor actively supports the use of flexible work arrangements by all staff, regardless of gender"
33,senior_manager_engagement_1,My SES manager is of a high quality
34,senior_manager_engagement_2,My SES manager is sufficiently visible (e.g. can be seen in action)
35,senior_manager_engagement_3,My SES manager communicates effectively
36,senior_manager_engagement_4,My SES manager engages with staff on how to respond to future challenges
37,senior_manager_engagement_5,My SES manager gives their time to identify and develop talented people
38,senior_manager_engagement_6,My SES manager ensures that work effort contributes to the strategic direction of the agency and the APS
39,senior_manager_engagement_7,My SES manager effectively leads and manages change
40,6_disregarded_question,#N/A
41,senior_manager_engagement_8,My SES manager encourages innovation and creativity
42,senior_manager_engagement_9,My SES manager actively supports people of diverse backgrounds
43,senior_manager_engagement_10,My SES manager actively supports opportunities for women to access leadership roles
44,senior_manager_engagement_11,"My SES manager actively supports the use of flexible work arrangements by all staff, regardless of gender"
45,7_disregarded_question,#N/A
46,senior_manager_engagement_12,My SES manager clearly articulates the direction and priorities for our area
47,leadership_engagement_1,"In my agency, the SES are sufficiently visible (e.g. can be seen in action)"
48,leadership_engagement_2,"In myagency, communication between the SES and other employees is effective"
49,8_disregarded_question,#N/A
50,leadership_engagement_3,"In my agency, the SES actively contribute to the work of our agency"
51,leadership_engagement_4,"In my agency, the SES are of a high quality"
52,leadership_engagement_5,"In my agency, the SES supports and provides opportunities for new ways of working in a digital environment"
53,leadership_engagement_6,"In my agency, the SES work as a team"
54,leadership_engagement_7,"In my agency, the SES clearly articulate the direction and priorities for our agency"
55,agency_engagement_1,I feel a strong personal attachment to my agency
56,agency_engagement_2,I am proud to work in my agen
57,agency_engagement_3,Change is managed well in my agency
58,agency_engagement_4,Internal communication within my agency is effective
59,agency_engagement_5,"My workplace provides access to effective learning and development (e.g. formal training, learning on the job, e-learning, secondments)"
60,agency_engagement_6,I am satisfied with the opportunities for career progression in my agency
61,agency_engagement_7,I would recommend my agency as a good place to work
62,agency_engagement_8,My agency actively encourages ethical behaviour by all of its employees
63,agency_engagement_9,"My agency is committed to creating a diverse workforce (e.g. gender, age, cultural and linguistic background, disability, Indigenous, LGBTI+)"
